,m,,dayof,22018_z1_AC1,22018_z1_Light,22018_z1_Plug,22018_z2_AC1,22018_z2_Light,22018_z2_Plug,22018_z3_Light,22018_z3_Plug,22018_z4_Light,32018_z1_AC4,32018_z1_Light,32018_z1_Plug,32018_z2_AC1,32018_z2_Light,32018_z2_Plug,32018_z3_Light,32018_z4_AC1,32018_z4_Light,32018_z4_Plug,32018_z5_AC1,32018_z5_Light,32018_z5_Plug,42018_z1_AC4,42018_z1_Light,42018_z1_Plug,42018_z2_AC1,42018_z2_Light,42018_z2_Plug,42018_z3_Light,42018_z4_AC1,42018_z4_Light,42018_z4_Plug,42018_z5_AC1,42018_z5_Light,42018_z5_Plug,52018_z1_Light,52018_z1_Plug,52018_z2_Light,52018_z2_Plug,52018_z3_Light,52018_z4_Light,52018_z4_Plug,52018_z5_Light,52018_z5_Plug,62018_z1_Light,62018_z1_Plug,62018_z2_Light,62018_z2_Plug,62018_z3_Light,62018_z4_Light,62018_z4_Plug,62018_z5_Light,62018_z5_Plug,72018_z1_AC2,72018_z1_AC3,72018_z1_Light,72018_z1_Plug,72018_z2_Light,72018_z2_Plug,72018_z3_Light,72018_z4_Light,72018_z4_Plug,72018_z5_Light
1,7,10,6,0.0,0.011,0.1453333333333333,1.1401666666666666,0.0,0.0671666666666666,0.0541666666666666,0.301,0.0,0.0688333333333333,0.0,0.0299999999999999,0.0,0.0,0.0311666666666666,0.1076666666666666,0.0,0.0,0.02,0.0,0.0,0.0213333333333333,9.470166666666668,0.0078333333333333,0.2201666666666666,0.0,0.0,0.2423333333333333,0.1293333333333333,0.0,0.0,0.0721666666666666,0.0,0.0001666666666666,0.0983333333333333,0.3341666666666666,0.1548333333333333,0.0001694915254237,0.0315254237288135,0.0571666666666666,0.0,0.2408333333333333,0.0,0.01,0.0,0.2313333333333333,0.01,0.0538333333333333,0.02,1.1915,0.1345,0.3665,0.0475,0.0,0.01,0.7871666666666667,0.0526666666666666,1.8268333333333333,0.0071666666666666,0.02,0.2983333333333333,0.0,0.0
1,7,11,6,0.0,0.0108333333333333,0.1498333333333333,0.6523333333333333,0.0,0.0696666666666666,0.1553333333333333,0.3071666666666666,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.0316666666666666,0.018,0.0,0.0,0.02,0.0,0.0,0.0216666666666666,9.715666666666667,0.047,0.2198333333333333,0.0,0.012,0.1708333333333333,0.0955,0.0,0.0,0.0741666666666666,0.0,0.0,0.098,0.334,0.195,0.0,0.0299999999999999,0.1191666666666666,0.0,0.2616666666666666,0.0,0.01,0.0,0.2788333333333333,0.01,0.0535,0.02,1.2045,0.0928333333333333,0.3686666666666667,0.0463333333333333,0.0,0.01,0.8,0.058,1.8563333333333327,0.007,0.02,0.2579999999999999,0.0,0.0
1,7,12,6,0.0,0.0111666666666666,0.15,0.6075,0.0,0.067,0.054,0.3065,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.0316666666666666,0.0571666666666666,0.0,0.0,0.02,0.0,0.0,0.0228333333333333,9.771166666666666,0.0088333333333333,0.2213333333333333,0.0,0.0,0.224,0.0901666666666666,0.0,0.05,0.075,0.0,0.0076666666666666,0.1,0.3341666666666666,0.1531666666666666,0.0,0.0299999999999999,0.0573333333333333,0.0,0.2305,0.0,0.01,0.8886666666666667,0.2838333333333333,0.01,0.055,0.8543333333333333,0.7896666666666666,0.0925,0.3636666666666667,0.051,0.0,0.01,0.8,0.0531666666666666,1.8628333333333336,0.007,0.02,0.3101666666666666,0.0,0.0
1,7,13,6,0.0,0.0113333333333333,0.15,0.6108333333333333,0.0,0.0708333333333333,0.064,0.3066666666666666,0.0,0.07,0.0,0.0299999999999999,0.0,0.0001666666666666,0.0313333333333333,0.0568333333333333,0.0,0.0,0.02,0.0,0.0,0.0213333333333333,9.799333333333331,0.0093333333333333,0.2206666666666666,0.0,0.0,0.1416666666666666,0.0668333333333333,0.0,0.6841666666666666,0.0851666666666666,0.0,0.1206666666666666,0.1036666666666666,0.3311666666666666,0.1486666666666666,0.0,0.0299999999999999,0.0573333333333333,0.0,0.2163333333333333,0.0,0.01,2.845,0.311,0.01,0.0538333333333333,1.1353333333333333,1.932,0.0976666666666666,1.045084745762712,0.0566666666666666,0.0,0.01,0.8,0.0583333333333333,1.8573333333333333,0.007,0.02,0.2538333333333333,0.0,0.0
1,7,14,6,0.0,0.011,0.149,0.654,0.0,0.0713333333333333,0.063,0.3061666666666667,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.0313333333333333,0.0668333333333333,0.0,0.0,0.02,0.0,0.0,0.021,9.886500000000002,0.0089830508474576,0.2248333333333333,0.0,0.0001694915254237,0.2408474576271186,0.1455,0.0,0.0,0.075,0.0,0.0,0.1236666666666666,0.3366666666666667,0.1896666666666666,0.0001694915254237,0.0316949152542372,0.057,0.0,0.2276666666666666,0.0,0.01,2.8463333333333334,0.2926666666666667,0.0421666666666666,0.0636666666666666,1.0933333333333335,1.8935593220338984,0.0955,1.009322033898305,0.0542372881355932,0.0,0.01,0.7993333333333333,0.0513333333333333,1.8536666666666664,0.0061666666666666,0.02,0.2576666666666666,0.0,0.0
1,7,15,6,0.0,0.0118333333333333,0.1493333333333333,0.6465,0.0,0.0715,0.0536666666666666,0.3061666666666667,0.0,0.07,0.0,0.0299999999999999,0.0,0.0003333333333333,0.0311666666666666,0.0575,0.0,0.0,0.02,0.0,0.0,0.022,9.827333333333334,0.0066666666666666,0.2223333333333333,0.0,0.0,0.121,0.0883333333333333,0.0,0.0,0.075593220338983,0.0,0.0001694915254237,0.1133333333333333,0.3305,0.1641666666666666,0.0,0.0301666666666666,0.1118333333333333,0.0,0.2628333333333333,0.0,0.01,2.843833333333333,0.2645,0.2915,0.1701666666666667,1.1363333333333334,1.990338983050848,0.097,1.0605084745762712,0.0630508474576271,0.0,0.01,0.7973333333333333,0.0574999999999999,1.849,0.007,0.02,0.2526666666666666,0.0,0.0
1,7,16,6,0.0,0.0113333333333333,0.1491666666666666,0.635,0.0,0.0701666666666666,0.0555,0.3066666666666666,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.032,0.0573333333333333,0.0,0.0,0.02,0.0,0.0,0.0213333333333333,9.702166666666669,0.0028333333333333,0.2248333333333333,0.0,0.0,0.2275,0.088,0.0,0.0,0.0745,0.0,0.0,0.1045,0.3985,0.225,0.0007142857142857,0.0394642857142857,0.0283333333333333,0.0,0.2578333333333333,0.0,0.01,2.8096666666666668,0.2481666666666666,0.1195,0.1531666666666666,1.0575,0.5738333333333333,0.0938333333333333,0.2416666666666666,0.1258333333333333,0.0,0.01,0.8,0.0488333333333333,1.8611666666666664,0.0068333333333333,0.02,0.2706666666666666,0.0,0.0
1,7,17,6,0.0,0.0113333333333333,0.1498333333333333,0.2151666666666666,0.0,0.0711666666666666,0.0533333333333333,0.3063333333333333,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.0315,0.0421666666666666,0.0,0.0,0.02,0.0,0.0,0.0218333333333333,2.6641666666666666,0.0025,0.229,0.0,0.0,0.1623333333333333,0.0883333333333333,0.0,0.0,0.0746666666666666,0.0,0.0,0.1543333333333333,0.336,0.1776666666666666,0.0,0.0299999999999999,0.0568333333333333,0.0,0.298,0.0,0.01,0.783,0.2423333333333333,0.01,0.0871666666666666,0.3483333333333333,0.0001694915254237,0.1073333333333333,0.0,0.1438983050847457,0.0,0.01,0.801,0.0598333333333333,1.8686666666666667,0.0068333333333333,0.02,0.2851666666666667,0.0,0.0
1,7,18,6,0.0,0.0113333333333333,0.1488333333333333,0.0001666666666666,0.0,0.068,0.1154999999999999,0.3066666666666666,0.0,0.0698333333333333,0.0,0.0299999999999999,0.0,0.0,0.0315,0.0831666666666666,0.0,0.0,0.02,0.0,0.0,0.0228333333333333,0.0,0.0033898305084745,0.227,0.0,0.0001694915254237,0.2206779661016949,0.1133333333333333,0.0,0.0,0.0735,0.0,0.0,0.1438333333333333,0.3915,0.156,0.0008928571428571,0.0385714285714285,0.057,0.0,0.2215,0.0,0.01,0.0,0.2451666666666666,0.01,0.058,0.0256666666666666,0.0,0.0933333333333333,0.0,0.0468333333333333,0.0,0.01,0.1375,0.0486666666666666,0.3206666666666667,0.0016666666666666,0.1431666666666666,0.0821666666666666,0.0,0.0
1,7,19,6,0.0,0.0103333333333333,0.1485,0.0003333333333333,0.0,0.0676666666666666,0.0768333333333333,0.31,0.0,0.07,0.0,0.0299999999999999,0.0,0.0001666666666666,0.0313333333333333,0.0568333333333333,0.0,0.0,0.02,0.0,0.0,0.0206666666666666,0.0,0.0018333333333333,0.2241666666666666,0.0,0.0,0.145,0.1351666666666666,0.0,0.0001694915254237,0.075593220338983,0.0,0.0001694915254237,0.102,0.3283333333333333,0.1675,0.0001666666666666,0.0299999999999999,0.1206666666666666,0.0,0.227,0.0,0.01,0.0,0.2298333333333333,0.01,0.0575,0.02,0.0001694915254237,0.0943333333333333,0.0,0.0569491525423728,0.0,0.01,0.0001666666666666,0.0571666666666666,0.0,0.0001666666666666,0.1718333333333333,0.1308333333333333,0.0,0.0
