Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2023-05-09 01:00:00.000,Lämpö,MWh,2023,5,9,1,0.073,4.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-07-17 01:00:00.000,Lämpö,MWh,2023,7,17,1,0.01,15.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-11-11 22:00:00.000,"Sähkö, Pätö",kWh,2020,11,11,22,8.38199999998324,4.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-04-16 22:00:00.000,"Sähkö, Pätö",kWh,2023,4,16,22,21.1539999999944,-0.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-10-03 00:00:00.000,Lämpö,MWh,2020,10,3,0,0.06062,8.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-11-10 17:00:00.000,Lämpö,MWh,2020,11,10,17,0.045,-0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-08-21 15:00:00.000,Lämpö,MWh,2023,8,21,15,0.014,14.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-04-24 19:00:00.000,"Sähkö, Pätö",kWh,2022,4,24,19,9.6019999999553,3.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-14 06:00:00.000,"Sähkö, Pätö",kWh,2020,1,14,6,81.920999999973,1.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-12-28 10:00:00.000,Lämpö,MWh,2020,12,28,10,0.079,-0.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-05-24 02:00:00.000,"Sähkö, Pätö",kWh,2023,5,24,2,21.8139999999385,8.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-03-18 01:00:00.000,"Sähkö, Pätö",kWh,2022,3,18,1,9.0910000000149,2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-09-20 12:00:00.000,"Sähkö, Pätö",kWh,2020,9,20,12,8.67699999990873,11.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
