Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2020-01-03 23:00:00,Lämpö,MWh,2020,1,3,23,0.031,1.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 00:00:00,Lämpö,MWh,2020,1,4,0,0.203,1.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 01:00:00,Lämpö,MWh,2020,1,4,1,0.1,0.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 02:00:00,Lämpö,MWh,2020,1,4,2,0.119,1.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 03:00:00,Lämpö,MWh,2020,1,4,3,0.113,1.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 04:00:00,Lämpö,MWh,2020,1,4,4,0.127,2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 05:00:00,Lämpö,MWh,2020,1,4,5,0.123,1.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 06:00:00,Lämpö,MWh,2020,1,4,6,0.09,2.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 07:00:00,Lämpö,MWh,2020,1,4,7,0.121,3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 08:00:00,Lämpö,MWh,2020,1,4,8,0.118,2.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 09:00:00,Lämpö,MWh,2020,1,4,9,0.126,1.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 10:00:00,Lämpö,MWh,2020,1,4,10,0.096,0.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 11:00:00,Lämpö,MWh,2020,1,4,11,0.084,1.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 12:00:00,Lämpö,MWh,2020,1,4,12,0.136,2.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 13:00:00,Lämpö,MWh,2020,1,4,13,0.118,2.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 14:00:00,Lämpö,MWh,2020,1,4,14,0.128,2.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 15:00:00,Lämpö,MWh,2020,1,4,15,0.119,1.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 16:00:00,Lämpö,MWh,2020,1,4,16,0.123,1.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 17:00:00,Lämpö,MWh,2020,1,4,17,0.126,0.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 18:00:00,Lämpö,MWh,2020,1,4,18,0.122,0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 19:00:00,Lämpö,MWh,2020,1,4,19,0.137,-0.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 20:00:00,Lämpö,MWh,2020,1,4,20,0.116,-0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 21:00:00,Lämpö,MWh,2020,1,4,21,0.127,-0.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 22:00:00,Lämpö,MWh,2020,1,4,22,0.132,-0.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-04 23:00:00,Lämpö,MWh,2020,1,4,23,0.038,-1.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 00:00:00,Lämpö,MWh,2020,1,5,0,0.229,-1.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 01:00:00,Lämpö,MWh,2020,1,5,1,0.143,-1.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 02:00:00,Lämpö,MWh,2020,1,5,2,0.148,-2.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 03:00:00,Lämpö,MWh,2020,1,5,3,0.136,-2.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 04:00:00,Lämpö,MWh,2020,1,5,4,0.163,-2.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 05:00:00,Lämpö,MWh,2020,1,5,5,0.15,-4.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 06:00:00,Lämpö,MWh,2020,1,5,6,0.13,-5.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 07:00:00,Lämpö,MWh,2020,1,5,7,0.154,-5.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 08:00:00,Lämpö,MWh,2020,1,5,8,0.153,-4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 09:00:00,Lämpö,MWh,2020,1,5,9,0.142,-5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 10:00:00,Lämpö,MWh,2020,1,5,10,0.132,-4.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 11:00:00,Lämpö,MWh,2020,1,5,11,0.109,-3.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 12:00:00,Lämpö,MWh,2020,1,5,12,0.168,-3.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 13:00:00,Lämpö,MWh,2020,1,5,13,0.166,-2.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 14:00:00,Lämpö,MWh,2020,1,5,14,0.136,-2.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 15:00:00,Lämpö,MWh,2020,1,5,15,0.155,-1.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 16:00:00,Lämpö,MWh,2020,1,5,16,0.132,-1.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 17:00:00,Lämpö,MWh,2020,1,5,17,0.121,-0.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 18:00:00,Lämpö,MWh,2020,1,5,18,0.126,-0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 19:00:00,Lämpö,MWh,2020,1,5,19,0.121,-1.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 20:00:00,Lämpö,MWh,2020,1,5,20,0.11,-0.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 21:00:00,Lämpö,MWh,2020,1,5,21,0.128,0,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 22:00:00,Lämpö,MWh,2020,1,5,22,0.116,0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-05 23:00:00,Lämpö,MWh,2020,1,5,23,0.125,0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 00:00:00,Lämpö,MWh,2020,1,6,0,0.123,0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 01:00:00,Lämpö,MWh,2020,1,6,1,0.129,0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 02:00:00,Lämpö,MWh,2020,1,6,2,0.148,-1.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 03:00:00,Lämpö,MWh,2020,1,6,3,0.132,-1.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 04:00:00,Lämpö,MWh,2020,1,6,4,0.16,-1.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 05:00:00,Lämpö,MWh,2020,1,6,5,0.126,-2.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 06:00:00,Lämpö,MWh,2020,1,6,6,0.132,-1.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 07:00:00,Lämpö,MWh,2020,1,6,7,0.137,0.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 08:00:00,Lämpö,MWh,2020,1,6,8,0.127,0,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 09:00:00,Lämpö,MWh,2020,1,6,9,0.148,-0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 10:00:00,Lämpö,MWh,2020,1,6,10,0.103,0.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 11:00:00,Lämpö,MWh,2020,1,6,11,0.088,1.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 12:00:00,Lämpö,MWh,2020,1,6,12,0.133,0.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 13:00:00,Lämpö,MWh,2020,1,6,13,0.111,1.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 14:00:00,Lämpö,MWh,2020,1,6,14,0.115,0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 15:00:00,Lämpö,MWh,2020,1,6,15,0.122,0.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 16:00:00,Lämpö,MWh,2020,1,6,16,0.123,0.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 17:00:00,Lämpö,MWh,2020,1,6,17,0.109,0.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 18:00:00,Lämpö,MWh,2020,1,6,18,0.115,1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 19:00:00,Lämpö,MWh,2020,1,6,19,0.115,1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 20:00:00,Lämpö,MWh,2020,1,6,20,0.104,1.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 21:00:00,Lämpö,MWh,2020,1,6,21,0.112,1.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 22:00:00,Lämpö,MWh,2020,1,6,22,0.111,1.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-06 23:00:00,Lämpö,MWh,2020,1,6,23,0.105,2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 00:00:00,Lämpö,MWh,2020,1,7,0,0.102,2.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 01:00:00,Lämpö,MWh,2020,1,7,1,0.106,2.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-07 02:00:00,Lämpö,MWh,2020,1,7,2,0.111,3.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
